RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
10.74,2.981,2.981,,2.993,35.9,77.0,10.74,1
10.75,2.715,2.715,,2.76,34.0,17.0,10.75,1
10.77,2.882,2.882,,2.919,77.6,120.0,10.77,1
10.78,2.9416666666666664,2.926,0.08262162751564119,3.0300000000000002,77.5,48.5,10.78,3
10.79,3.522,3.522,,3.574,28.0,54.0,10.79,1
10.81,3.191,3.191,,3.263,57.0,59.0,10.81,1
10.83,3.004,3.004,,3.058,34.0,66.0,10.83,1
10.85,2.996,2.996,,3.085,60.0,63.0,10.85,1
10.86,2.772,2.772,,2.801,72.8,91.0,10.86,1
10.87,2.894,2.894,,2.963,75.0,85.0,10.87,1
10.89,2.9553333333333334,2.964,0.09728994466713069,3.0156666666666667,82.86666666666666,78.33333333333333,10.89,3
10.9,2.878,2.878,0.031112698372208276,2.9365,55.0,64.5,10.9,2
10.92,2.909,2.909,,2.935,78.6,85.0,10.92,1
10.96,3.196,3.196,,3.251,87.8,116.0,10.96,1
10.98,2.912,2.912,,2.994,85.0,84.0,10.98,1
11.06,2.785,2.785,,2.798,67.8,115.0,11.06,1
11.09,3.173,3.173,,3.223,37.0,94.0,11.09,1
11.1,3.277,3.277,,,83.4,155.0,11.1,1
11.26,2.8485,2.8485,0.02899137802864871,2.8985000000000003,43.0,59.5,11.26,2
11.27,2.831666666666667,2.8535000000000004,0.0930584045998354,2.8989999999999996,57.48333333333333,62.166666666666664,11.270000000000001,6
11.28,3.123,3.123,,,0.0,110.0,11.28,1
11.3,3.009,3.009,,3.036,23.0,66.0,11.3,1
11.36,2.951,2.951,,3.01,52.0,89.0,11.36,1
11.37,2.902,2.902,,2.969,44.0,31.0,11.37,1
11.38,3.0465,3.0465,0.012020815280171555,3.0915,80.05,118.5,11.38,2
11.4,2.809,2.809,,2.81,80.5,98.0,11.4,1
11.46,2.8685,2.8685,0.003535533905932662,2.874,86.85,166.5,11.46,2
11.48,2.881,2.881,,2.949,62.0,65.0,11.48,1
11.51,3.118,3.118,,3.159,20.0,101.0,11.51,1
11.54,2.594,2.594,,,46.6,107.0,11.54,1
11.56,2.993,2.993,,3.07,44.0,95.0,11.56,1
11.57,2.972,2.972,,,48.0,142.0,11.57,1
11.58,2.882,2.882,,,,,11.58,1
11.59,3.004,3.004,,3.015,54.0,115.0,11.59,1
11.61,2.757,2.757,,,35.9,89.0,11.61,1
11.63,3.166,3.166,0.02262741699796954,3.2,49.15,103.5,11.63,2
11.64,3.38,3.38,,3.423,24.0,79.0,11.64,1
